FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
348,"栄","flourish",2022-09-19 08:23:34,2023-01-08,7,0,6
349,"書","write",2022-11-21 21:35:17,2022-12-14,5,0,10
350,"津","haven",2022-09-27 21:59:53,2023-01-18,7,1,6
351,"牧","breed",2022-09-13 08:19:51,2023-01-05,7,0,6
352,"攻","aggression",2022-10-03 11:35:48,2023-01-17,7,1,6
353,"敗","failure",2022-09-16 08:25:44,2023-01-13,7,0,6
354,"枚","a sheet of",2022-09-16 08:10:05,2023-01-08,7,0,6
355,"故","happenstance",2022-09-05 07:30:29,2022-12-28,7,0,6
356,"敬","awe",2022-09-06 07:47:25,2022-12-20,7,0,6
357,"言","say",2022-09-23 20:01:11,2023-01-10,7,0,6
358,"警","admonish",2022-11-23 21:34:01,2023-01-08,6,0,9
359,"計","plot",2022-09-19 08:28:51,2023-01-13,7,0,6
360,"詮","elucidate",2022-09-21 21:35:31,2023-01-19,7,0,6
361,"獄","prison",2022-09-16 08:21:00,2023-01-10,7,0,6
362,"訂","revise",2022-09-22 21:35:43,2023-01-16,7,0,6
363,"訃","obituary",2022-09-14 07:39:27,2022-12-18,7,0,6
364,"討","chastise",2022-09-19 08:28:51,2023-01-20,7,1,7
365,"訓","instruction",2022-09-14 07:39:27,2023-01-16,7,0,6
366,"詔","imperial edict",2022-10-03 17:09:11,2023-01-03,7,1,6
367,"詰","packed",2022-10-10 22:11:06,2023-02-02,7,0,8
368,"話","tale",2022-09-11 08:31:36,2023-01-12,7,0,6
369,"詠","recitation",2022-09-13 08:16:17,2022-12-24,7,0,6
370,"詩","poem",2022-09-07 08:04:19,2022-12-18,7,0,6
371,"語","word",2022-10-01 09:42:51,2023-01-08,7,1,6
372,"読","read",2022-10-01 10:32:04,2023-01-10,7,1,6
373,"調","pitch",2022-10-05 20:04:44,2023-02-08,7,1,9
374,"談","discuss",2022-09-27 21:59:53,2023-01-17,7,0,6
375,"諾","consent",2022-11-04 13:02:04,2023-02-26,7,1,9
376,"諭","rebuke",2022-09-17 11:06:30,2023-01-18,7,0,6
377,"式","style",2022-09-30 08:13:38,2023-01-31,7,0,6
378,"試","test",2022-09-14 07:50:06,2022-12-22,7,0,6
379,"弐","II (two)",2022-09-20 08:20:20,2022-12-26,7,0,6
380,"域","range",2022-09-27 21:39:29,2023-01-26,7,1,6
381,"賊","burglar",2022-11-09 17:18:19,2022-12-28,6,0,11
382,"栽","plantation",2022-09-15 07:31:01,2023-01-13,7,0,6
383,"載","load",2022-09-23 19:43:50,2023-01-13,7,0,6
384,"茂","overgrown",2022-11-23 21:43:40,2023-01-20,6,0,10
385,"戚","relatives",2022-11-06 21:54:54,2023-02-21,7,1,11
386,"成","turn into",2022-10-30 13:25:03,2023-02-08,7,0,8
387,"城","castle",2022-09-27 21:33:05,2023-01-16,7,0,6
388,"誠","sincerity",2022-10-18 18:52:20,2022-12-12,6,0,9
389,"威","intimidate",2022-10-28 22:36:24,2022-12-15,6,0,11
390,"滅","destroy",2022-10-17 10:43:33,2023-01-19,7,1,9
391,"減","dwindle",2022-09-22 21:51:34,2023-01-09,7,0,6
392,"蔑","revile",2022-10-20 20:52:43,2022-12-08,6,0,7
